sample_id,midi_path,tokens_path,score
sample_001,outputs/rlhf/survey_midis/sample_001.mid,outputs/rlhf/tokens/sample_001.json,2
sample_002,outputs/rlhf/survey_midis/sample_002.mid,outputs/rlhf/tokens/sample_002.json,3
sample_003,outputs/rlhf/survey_midis/sample_003.mid,outputs/rlhf/tokens/sample_003.json,4
sample_004,outputs/rlhf/survey_midis/sample_004.mid,outputs/rlhf/tokens/sample_004.json,3
sample_005,outputs/rlhf/survey_midis/sample_005.mid,outputs/rlhf/tokens/sample_005.json,1
sample_006,outputs/rlhf/survey_midis/sample_006.mid,outputs/rlhf/tokens/sample_006.json,2
sample_007,outputs/rlhf/survey_midis/sample_007.mid,outputs/rlhf/tokens/sample_007.json,3
sample_008,outputs/rlhf/survey_midis/sample_008.mid,outputs/rlhf/tokens/sample_008.json,3
sample_009,outputs/rlhf/survey_midis/sample_009.mid,outputs/rlhf/tokens/sample_009.json,2
sample_010,outputs/rlhf/survey_midis/sample_010.mid,outputs/rlhf/tokens/sample_010.json,3
sample_011,outputs/rlhf/survey_midis/sample_011.mid,outputs/rlhf/tokens/sample_011.json,1
sample_012,outputs/rlhf/survey_midis/sample_012.mid,outputs/rlhf/tokens/sample_012.json,3
sample_013,outputs/rlhf/survey_midis/sample_013.mid,outputs/rlhf/tokens/sample_013.json,3
sample_014,outputs/rlhf/survey_midis/sample_014.mid,outputs/rlhf/tokens/sample_014.json,3
sample_015,outputs/rlhf/survey_midis/sample_015.mid,outputs/rlhf/tokens/sample_015.json,5
sample_016,outputs/rlhf/survey_midis/sample_016.mid,outputs/rlhf/tokens/sample_016.json,4
sample_017,outputs/rlhf/survey_midis/sample_017.mid,outputs/rlhf/tokens/sample_017.json,4
sample_018,outputs/rlhf/survey_midis/sample_018.mid,outputs/rlhf/tokens/sample_018.json,1
sample_019,outputs/rlhf/survey_midis/sample_019.mid,outputs/rlhf/tokens/sample_019.json,4
sample_020,outputs/rlhf/survey_midis/sample_020.mid,outputs/rlhf/tokens/sample_020.json,3